Machine;Model_ID;Model_Name;Score;Execution_Date
Machine_01;Machine_01_Fault_01;ENGINE BREAK;28%;09-23-2016 00:35:04
Machine_01;Machine_01_Fault_02;JAM;67%;09-23-2016 00:37:02
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;60%;09-23-2016 00:41:49
Machine_02;Machine_02_Fault_03;ROTOR BREAK;68%;09-23-2016 00:40:29
Machine_02;Machine_02_Fault_04;HEAT PUMP;21%;09-23-2016 00:44:46
Machine_02;Machine_02_Fault_05;VACUUM;49%;09-23-2016 00:46:10
Machine_01;Machine_01_Fault_01;ENGINE BREAK;35%;09-23-2016 00:49:14
Machine_01;Machine_01_Fault_02;JAM;2%;09-23-2016 00:48:59
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;10%;09-23-2016 00:48:31
Machine_02;Machine_02_Fault_03;ROTOR BREAK;78%;09-23-2016 01:07:16
Machine_02;Machine_02_Fault_04;HEAT PUMP;49%;09-23-2016 01:08:03
Machine_02;Machine_02_Fault_05;VACUUM;82%;09-23-2016 01:09:35
Machine_01;Machine_01_Fault_01;ENGINE BREAK;27%;09-23-2016 01:11:55
Machine_01;Machine_01_Fault_02;JAM;42%;09-23-2016 01:12:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;0%;09-23-2016 01:13:15
Machine_02;Machine_02_Fault_03;ROTOR BREAK;87%;09-23-2016 01:14:49
Machine_02;Machine_02_Fault_04;HEAT PUMP;75%;09-23-2016 01:15:44
Machine_02;Machine_02_Fault_05;VACUUM;39%;09-23-2016 01:16:11
Machine_01;Machine_01_Fault_01;ENGINE BREAK;70%;09-23-2016 01:16:44
Machine_01;Machine_01_Fault_02;JAM;23%;09-23-2016 01:19:51
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;62%;09-23-2016 01:03:57
Machine_02;Machine_02_Fault_03;ROTOR BREAK;75%;09-23-2016 01:02:55
Machine_02;Machine_02_Fault_04;HEAT PUMP;49%;09-23-2016 00:58:49
Machine_02;Machine_02_Fault_05;VACUUM;67%;09-23-2016 01:03:57
Machine_01;Machine_01_Fault_01;ENGINE BREAK;48%;09-23-2016 00:55:05
Machine_01;Machine_01_Fault_02;JAM;20%;09-23-2016 00:53:33
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;58%;09-23-2016 00:52:51
Machine_02;Machine_02_Fault_03;ROTOR BREAK;63%;09-23-2016 00:51:28
Machine_02;Machine_02_Fault_04;HEAT PUMP;66%;09-23-2016 00:50:39
Machine_02;Machine_02_Fault_05;VACUUM;17%;09-23-2016 01:06:14
Machine_01;Machine_01_Fault_01;ENGINE BREAK;38%;09-23-2016 01:06:48
Machine_01;Machine_01_Fault_02;JAM;41%;09-23-2016 01:20:08
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;91%;09-23-2016 01:23:19
Machine_02;Machine_02_Fault_03;ROTOR BREAK;66%;09-23-2016 01:22:06
Machine_02;Machine_02_Fault_04;HEAT PUMP;42%;09-23-2016 01:23:06
Machine_02;Machine_02_Fault_05;VACUUM;82%;09-23-2016 01:21:01
Machine_01;Machine_01_Fault_01;ENGINE BREAK;21%;09-23-2016 01:21:48
Machine_01;Machine_01_Fault_02;JAM;94%;09-23-2016 01:24:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;47%;09-23-2016 01:35:13
Machine_02;Machine_02_Fault_03;ROTOR BREAK;80%;09-23-2016 01:36:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;10%;09-23-2016 01:36:42
Machine_02;Machine_02_Fault_05;VACUUM;10%;09-23-2016 01:37:09
Machine_01;Machine_01_Fault_01;ENGINE BREAK;29%;09-23-2016 01:37:55
Machine_01;Machine_01_Fault_02;JAM;79%;09-23-2016 01:38:18
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;39%;09-23-2016 01:39:42
Machine_02;Machine_02_Fault_03;ROTOR BREAK;18%;09-23-2016 01:41:02
Machine_02;Machine_02_Fault_04;HEAT PUMP;27%;09-23-2016 01:42:02
Machine_02;Machine_02_Fault_05;VACUUM;85%;09-23-2016 01:42:41
Machine_01;Machine_01_Fault_01;ENGINE BREAK;68%;09-23-2016 01:43:57
Machine_01;Machine_01_Fault_02;JAM;71%;09-23-2016 01:44:37
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;32%;09-23-2016 01:45:08
Machine_02;Machine_02_Fault_03;ROTOR BREAK;60%;09-23-2016 01:46:16
Machine_02;Machine_02_Fault_04;HEAT PUMP;61%;09-23-2016 01:25:16
Machine_02;Machine_02_Fault_05;VACUUM;34%;09-23-2016 01:26:07
Machine_01;Machine_01_Fault_01;ENGINE BREAK;87%;09-23-2016 01:27:52
Machine_01;Machine_01_Fault_02;JAM;46%;09-23-2016 01:28:47
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;23%;09-23-2016 01:29:37
Machine_02;Machine_02_Fault_03;ROTOR BREAK;59%;09-23-2016 01:30:58
Machine_02;Machine_02_Fault_04;HEAT PUMP;19%;09-23-2016 01:31:57
Machine_02;Machine_02_Fault_05;VACUUM;79%;09-23-2016 01:32:21
Machine_01;Machine_01_Fault_01;ENGINE BREAK;86%;09-23-2016 01:32:41
Machine_01;Machine_01_Fault_02;JAM;38%;09-23-2016 01:33:35
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;46%;09-23-2016 01:34:33
Machine_02;Machine_02_Fault_03;ROTOR BREAK;2%;09-23-2016 01:53:30
Machine_02;Machine_02_Fault_04;HEAT PUMP;89%;09-23-2016 01:55:22
Machine_02;Machine_02_Fault_05;VACUUM;29%;09-23-2016 01:55:18
Machine_01;Machine_01_Fault_01;ENGINE BREAK;45%;09-23-2016 01:58:41
Machine_01;Machine_01_Fault_02;JAM;72%;09-23-2016 01:57:54
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;6%;09-23-2016 02:04:13
Machine_02;Machine_02_Fault_03;ROTOR BREAK;98%;09-23-2016 02:03:10
Machine_02;Machine_02_Fault_04;HEAT PUMP;11%;09-23-2016 02:02:41
Machine_02;Machine_02_Fault_05;VACUUM;14%;09-23-2016 02:02:19
Machine_01;Machine_01_Fault_01;ENGINE BREAK;2%;09-23-2016 02:07:26
Machine_01;Machine_01_Fault_02;JAM;82%;09-23-2016 02:09:32
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;1%;09-23-2016 02:11:05
Machine_02;Machine_02_Fault_03;ROTOR BREAK;79%;09-23-2016 02:11:47
Machine_02;Machine_02_Fault_04;HEAT PUMP;30%;09-23-2016 02:05:39
Machine_02;Machine_02_Fault_05;VACUUM;84%;09-23-2016 00:04:55
Machine_01;Machine_01_Fault_01;ENGINE BREAK;63%;09-23-2016 00:05:12
Machine_01;Machine_01_Fault_02;JAM;60%;09-23-2016 00:05:08
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;62%;09-23-2016 00:06:20
Machine_02;Machine_02_Fault_03;ROTOR BREAK;25%;09-23-2016 00:06:58
Machine_02;Machine_02_Fault_04;HEAT PUMP;59%;09-23-2016 00:07:22
Machine_02;Machine_02_Fault_05;VACUUM;52%;09-23-2016 00:11:29
Machine_01;Machine_01_Fault_01;ENGINE BREAK;74%;09-23-2016 00:10:10
Machine_01;Machine_01_Fault_02;JAM;18%;09-23-2016 00:09:36
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;10%;09-23-2016 00:14:34
Machine_02;Machine_02_Fault_03;ROTOR BREAK;7%;09-23-2016 00:16:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;84%;09-23-2016 00:21:27
Machine_02;Machine_02_Fault_05;VACUUM;35%;09-23-2016 00:18:21
Machine_01;Machine_01_Fault_01;ENGINE BREAK;87%;09-23-2016 00:22:29
Machine_01;Machine_01_Fault_02;JAM;18%;09-23-2016 00:23:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;24%;09-23-2016 00:25:52
Machine_02;Machine_02_Fault_03;ROTOR BREAK;30%;09-23-2016 00:26:44
Machine_02;Machine_02_Fault_04;HEAT PUMP;44%;09-23-2016 00:28:07
Machine_02;Machine_02_Fault_05;VACUUM;94%;09-23-2016 00:29:09
Machine_01;Machine_01_Fault_01;ENGINE BREAK;16%;09-23-2016 00:30:04
Machine_01;Machine_01_Fault_02;JAM;51%;09-23-2016 00:31:57
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;43%;09-23-2016 00:32:45
Machine_02;Machine_02_Fault_03;ROTOR BREAK;15%;09-23-2016 00:05:45
Machine_02;Machine_02_Fault_04;HEAT PUMP;56%;09-23-2016 00:05:13
Machine_02;Machine_02_Fault_05;VACUUM;21%;09-23-2016 00:05:45
Machine_01;Machine_01_Fault_01;ENGINE BREAK;17%;09-23-2016 00:06:19
Machine_01;Machine_01_Fault_02;JAM;75%;09-23-2016 00:07:17
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;93%;09-23-2016 00:07:53
Machine_02;Machine_02_Fault_03;ROTOR BREAK;61%;09-23-2016 00:08:55
Machine_02;Machine_02_Fault_04;HEAT PUMP;10%;09-23-2016 00:10:55
Machine_02;Machine_02_Fault_05;VACUUM;8%;09-23-2016 00:09:38
Machine_01;Machine_01_Fault_01;ENGINE BREAK;17%;09-23-2016 00:16:43
Machine_01;Machine_01_Fault_02;JAM;76%;09-23-2016 00:15:48
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;29%;09-23-2016 00:18:50
Machine_02;Machine_02_Fault_03;ROTOR BREAK;62%;09-23-2016 00:21:27
Machine_02;Machine_02_Fault_04;HEAT PUMP;19%;09-23-2016 00:22:10
Machine_02;Machine_02_Fault_05;VACUUM;9%;09-23-2016 00:25:18
Machine_01;Machine_01_Fault_01;ENGINE BREAK;46%;09-23-2016 00:25:59
Machine_01;Machine_01_Fault_02;JAM;73%;09-23-2016 00:27:40
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;65%;09-23-2016 00:28:22
Machine_02;Machine_02_Fault_03;ROTOR BREAK;0%;09-23-2016 00:29:15
Machine_02;Machine_02_Fault_04;HEAT PUMP;56%;09-23-2016 00:31:23
Machine_02;Machine_02_Fault_05;VACUUM;90%;09-23-2016 00:31:59
Machine_01;Machine_01_Fault_01;ENGINE BREAK;9%;09-23-2016 00:33:14
Machine_01;Machine_01_Fault_02;JAM;94%;09-23-2016 00:34:58
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;83%;09-23-2016 00:35:50
Machine_02;Machine_02_Fault_03;ROTOR BREAK;57%;09-23-2016 00:38:27
Machine_02;Machine_02_Fault_04;HEAT PUMP;83%;09-23-2016 00:39:00
Machine_02;Machine_02_Fault_05;VACUUM;1%;09-23-2016 00:45:04
Machine_01;Machine_01_Fault_01;ENGINE BREAK;33%;09-23-2016 00:46:05
Machine_01;Machine_01_Fault_02;JAM;13%;09-23-2016 00:46:58
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;34%;09-23-2016 00:49:02
Machine_02;Machine_02_Fault_03;ROTOR BREAK;25%;09-23-2016 00:48:43
Machine_02;Machine_02_Fault_04;HEAT PUMP;35%;09-23-2016 00:49:57
Machine_02;Machine_02_Fault_05;VACUUM;20%;09-23-2016 01:08:04
Machine_01;Machine_01_Fault_01;ENGINE BREAK;90%;09-23-2016 01:09:28
Machine_01;Machine_01_Fault_02;JAM;94%;09-23-2016 01:14:40
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;38%;09-23-2016 01:12:11
Machine_02;Machine_02_Fault_03;ROTOR BREAK;40%;09-23-2016 01:13:09
Machine_02;Machine_02_Fault_04;HEAT PUMP;32%;09-23-2016 01:14:49
Machine_02;Machine_02_Fault_05;VACUUM;89%;09-23-2016 01:15:41
Machine_01;Machine_01_Fault_01;ENGINE BREAK;89%;09-23-2016 01:16:02
Machine_01;Machine_01_Fault_02;JAM;93%;09-23-2016 01:16:28
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;77%;09-23-2016 01:16:57
Machine_02;Machine_02_Fault_03;ROTOR BREAK;28%;09-23-2016 01:03:56
Machine_02;Machine_02_Fault_04;HEAT PUMP;93%;09-23-2016 01:03:14
Machine_02;Machine_02_Fault_05;VACUUM;51%;09-23-2016 01:00:15
Machine_01;Machine_01_Fault_01;ENGINE BREAK;66%;09-23-2016 00:56:51
Machine_01;Machine_01_Fault_02;JAM;71%;09-23-2016 00:55:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;88%;09-23-2016 00:53:38
Machine_02;Machine_02_Fault_03;ROTOR BREAK;83%;09-23-2016 00:52:56
Machine_02;Machine_02_Fault_04;HEAT PUMP;97%;09-23-2016 00:51:37
Machine_02;Machine_02_Fault_05;VACUUM;71%;09-23-2016 00:50:50
Machine_01;Machine_01_Fault_01;ENGINE BREAK;21%;09-23-2016 01:04:50
Machine_01;Machine_01_Fault_02;JAM;69%;09-23-2016 01:06:29
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;89%;09-23-2016 01:07:13
Machine_02;Machine_02_Fault_03;ROTOR BREAK;16%;09-23-2016 01:20:08
Machine_02;Machine_02_Fault_04;HEAT PUMP;64%;09-23-2016 01:23:17
Machine_02;Machine_02_Fault_05;VACUUM;50%;09-23-2016 01:22:44
Machine_01;Machine_01_Fault_01;ENGINE BREAK;93%;09-23-2016 01:23:19
Machine_01;Machine_01_Fault_02;JAM;26%;09-23-2016 01:21:38
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;41%;09-23-2016 01:25:03
Machine_02;Machine_02_Fault_03;ROTOR BREAK;74%;09-23-2016 01:25:16
Machine_02;Machine_02_Fault_04;HEAT PUMP;36%;09-23-2016 01:42:36
Machine_02;Machine_02_Fault_05;VACUUM;26%;09-23-2016 01:36:37
Machine_01;Machine_01_Fault_01;ENGINE BREAK;97%;09-23-2016 01:37:02
Machine_01;Machine_01_Fault_02;JAM;67%;09-23-2016 01:37:37
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;52%;09-23-2016 01:38:10
Machine_02;Machine_02_Fault_03;ROTOR BREAK;76%;09-23-2016 01:39:17
Machine_02;Machine_02_Fault_04;HEAT PUMP;23%;09-23-2016 01:40:23
Machine_02;Machine_02_Fault_05;VACUUM;64%;09-23-2016 01:41:37
Machine_01;Machine_01_Fault_01;ENGINE BREAK;71%;09-23-2016 01:42:39
Machine_01;Machine_01_Fault_02;JAM;7%;09-23-2016 01:43:53
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;34%;09-23-2016 01:44:25
Machine_02;Machine_02_Fault_03;ROTOR BREAK;34%;09-23-2016 01:44:58
Machine_02;Machine_02_Fault_04;HEAT PUMP;55%;09-23-2016 01:45:40
Machine_02;Machine_02_Fault_05;VACUUM;97%;09-23-2016 01:25:13
Machine_01;Machine_01_Fault_01;ENGINE BREAK;77%;09-23-2016 01:26:03
Machine_01;Machine_01_Fault_02;JAM;87%;09-23-2016 01:27:33
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;36%;09-23-2016 01:28:23
Machine_02;Machine_02_Fault_03;ROTOR BREAK;55%;09-23-2016 01:29:30
Machine_02;Machine_02_Fault_04;HEAT PUMP;20%;09-23-2016 01:30:19
Machine_02;Machine_02_Fault_05;VACUUM;77%;09-23-2016 01:31:36
Machine_01;Machine_01_Fault_01;ENGINE BREAK;52%;09-23-2016 01:32:15
Machine_01;Machine_01_Fault_02;JAM;22%;09-23-2016 01:32:49
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;52%;09-23-2016 01:33:24
Machine_02;Machine_02_Fault_03;ROTOR BREAK;34%;09-23-2016 01:34:25
Machine_02;Machine_02_Fault_04;HEAT PUMP;40%;09-23-2016 01:34:48
Machine_02;Machine_02_Fault_05;VACUUM;41%;09-23-2016 01:49:40
Machine_01;Machine_01_Fault_01;ENGINE BREAK;53%;09-23-2016 01:54:22
Machine_01;Machine_01_Fault_02;JAM;65%;09-23-2016 02:01:30
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;1%;09-23-2016 01:58:02
Machine_02;Machine_02_Fault_03;ROTOR BREAK;68%;09-23-2016 02:04:41
Machine_02;Machine_02_Fault_04;HEAT PUMP;22%;09-23-2016 02:03:25
Machine_02;Machine_02_Fault_05;VACUUM;35%;09-23-2016 02:02:45
Machine_01;Machine_01_Fault_01;ENGINE BREAK;38%;09-23-2016 02:02:25
Machine_01;Machine_01_Fault_02;JAM;8%;09-23-2016 02:02:08
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;47%;09-23-2016 02:08:35
Machine_02;Machine_02_Fault_03;ROTOR BREAK;32%;09-23-2016 02:10:04
Machine_02;Machine_02_Fault_04;HEAT PUMP;20%;09-23-2016 02:14:59
Machine_02;Machine_02_Fault_05;VACUUM;45%;09-23-2016 02:05:47
Machine_01;Machine_01_Fault_01;ENGINE BREAK;92%;09-23-2016 00:05:45
Machine_01;Machine_01_Fault_02;JAM;59%;09-23-2016 00:05:13
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;50%;09-23-2016 00:05:45
Machine_02;Machine_02_Fault_03;ROTOR BREAK;13%;09-23-2016 00:06:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;53%;09-23-2016 00:07:17
Machine_02;Machine_02_Fault_05;VACUUM;48%;09-23-2016 00:07:53
Machine_01;Machine_01_Fault_01;ENGINE BREAK;2%;09-23-2016 00:08:55
Machine_01;Machine_01_Fault_02;JAM;49%;09-23-2016 00:10:55
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;77%;09-23-2016 00:09:38
Machine_02;Machine_02_Fault_03;ROTOR BREAK;4%;09-23-2016 00:16:43
Machine_02;Machine_02_Fault_04;HEAT PUMP;14%;09-23-2016 00:15:48
Machine_02;Machine_02_Fault_05;VACUUM;27%;09-23-2016 00:18:50
Machine_01;Machine_01_Fault_01;ENGINE BREAK;5%;09-23-2016 00:21:27
Machine_01;Machine_01_Fault_02;JAM;67%;09-23-2016 00:22:10
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;30%;09-23-2016 00:25:18
Machine_02;Machine_02_Fault_03;ROTOR BREAK;78%;09-23-2016 00:25:59
Machine_02;Machine_02_Fault_04;HEAT PUMP;72%;09-23-2016 00:27:40
Machine_02;Machine_02_Fault_05;VACUUM;4%;09-23-2016 00:28:22
Machine_01;Machine_01_Fault_01;ENGINE BREAK;100%;09-23-2016 00:29:15
Machine_01;Machine_01_Fault_02;JAM;16%;09-23-2016 00:31:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;92%;09-23-2016 00:31:59
Machine_02;Machine_02_Fault_03;ROTOR BREAK;33%;09-23-2016 00:33:14
Machine_02;Machine_02_Fault_04;HEAT PUMP;24%;09-23-2016 00:34:58
Machine_02;Machine_02_Fault_05;VACUUM;56%;09-23-2016 00:35:50
Machine_01;Machine_01_Fault_01;ENGINE BREAK;32%;09-23-2016 00:38:27
Machine_01;Machine_01_Fault_02;JAM;1%;09-23-2016 00:39:00
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;2%;09-23-2016 00:45:04
Machine_02;Machine_02_Fault_03;ROTOR BREAK;71%;09-23-2016 00:46:05
Machine_02;Machine_02_Fault_04;HEAT PUMP;85%;09-23-2016 00:46:58
Machine_02;Machine_02_Fault_05;VACUUM;50%;09-23-2016 00:49:02
Machine_01;Machine_01_Fault_01;ENGINE BREAK;59%;09-23-2016 00:48:43
Machine_01;Machine_01_Fault_02;JAM;67%;09-23-2016 00:49:57
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;78%;09-23-2016 01:08:04
Machine_02;Machine_02_Fault_03;ROTOR BREAK;15%;09-23-2016 01:09:28
Machine_02;Machine_02_Fault_04;HEAT PUMP;31%;09-23-2016 01:14:40
Machine_02;Machine_02_Fault_05;VACUUM;93%;09-23-2016 01:12:11
Machine_01;Machine_01_Fault_01;ENGINE BREAK;85%;09-23-2016 01:13:09
Machine_01;Machine_01_Fault_02;JAM;7%;09-23-2016 01:14:49
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;48%;09-23-2016 01:15:41
Machine_02;Machine_02_Fault_03;ROTOR BREAK;78%;09-23-2016 01:16:02
Machine_02;Machine_02_Fault_04;HEAT PUMP;73%;09-23-2016 01:16:28
Machine_02;Machine_02_Fault_05;VACUUM;20%;09-23-2016 01:16:57
Machine_01;Machine_01_Fault_01;ENGINE BREAK;37%;09-23-2016 01:03:56
Machine_01;Machine_01_Fault_02;JAM;84%;09-23-2016 01:03:14
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;47%;09-23-2016 01:00:15
Machine_02;Machine_02_Fault_03;ROTOR BREAK;13%;09-23-2016 00:56:51
Machine_02;Machine_02_Fault_04;HEAT PUMP;18%;09-23-2016 00:55:23
Machine_02;Machine_02_Fault_05;VACUUM;73%;09-23-2016 00:53:38
Machine_01;Machine_01_Fault_01;ENGINE BREAK;98%;09-23-2016 00:52:56
Machine_01;Machine_01_Fault_02;JAM;89%;09-23-2016 00:51:37
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;57%;09-23-2016 00:50:50
Machine_02;Machine_02_Fault_03;ROTOR BREAK;51%;09-23-2016 01:04:50
Machine_02;Machine_02_Fault_04;HEAT PUMP;80%;09-23-2016 01:06:29
Machine_02;Machine_02_Fault_05;VACUUM;37%;09-23-2016 01:07:13
Machine_01;Machine_01_Fault_01;ENGINE BREAK;96%;09-23-2016 01:20:08
Machine_01;Machine_01_Fault_02;JAM;4%;09-23-2016 01:23:17
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;59%;09-23-2016 01:22:44
Machine_02;Machine_02_Fault_03;ROTOR BREAK;70%;09-23-2016 01:23:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;43%;09-23-2016 01:21:38
Machine_02;Machine_02_Fault_05;VACUUM;96%;09-23-2016 01:25:03
Machine_01;Machine_01_Fault_01;ENGINE BREAK;1%;09-23-2016 01:25:16
Machine_01;Machine_01_Fault_02;JAM;9%;09-23-2016 01:42:36
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;62%;09-23-2016 00:04:46
Machine_02;Machine_02_Fault_03;ROTOR BREAK;50%;09-23-2016 00:05:25
Machine_02;Machine_02_Fault_04;HEAT PUMP;41%;09-23-2016 00:05:08
Machine_02;Machine_02_Fault_05;VACUUM;25%;09-23-2016 00:06:09
Machine_01;Machine_01_Fault_01;ENGINE BREAK;59%;09-23-2016 00:07:06
Machine_01;Machine_01_Fault_02;JAM;57%;09-23-2016 00:07:00
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;49%;09-23-2016 00:06:42
Machine_02;Machine_02_Fault_03;ROTOR BREAK;44%;09-23-2016 00:11:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;57%;09-23-2016 00:09:45
Machine_02;Machine_02_Fault_05;VACUUM;77%;09-23-2016 00:14:34
Machine_01;Machine_01_Fault_01;ENGINE BREAK;11%;09-23-2016 00:15:23
Machine_01;Machine_01_Fault_02;JAM;68%;09-23-2016 00:19:11
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;78%;09-23-2016 00:18:22
Machine_02;Machine_02_Fault_03;ROTOR BREAK;6%;09-23-2016 00:22:32
Machine_02;Machine_02_Fault_04;HEAT PUMP;68%;09-23-2016 00:34:00
Machine_02;Machine_02_Fault_05;VACUUM;23%;09-23-2016 00:25:33
Machine_01;Machine_01_Fault_01;ENGINE BREAK;64%;09-23-2016 00:26:36
Machine_01;Machine_01_Fault_02;JAM;24%;09-23-2016 00:28:02
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;94%;09-23-2016 00:28:23
Machine_02;Machine_02_Fault_03;ROTOR BREAK;93%;09-23-2016 00:29:59
Machine_02;Machine_02_Fault_04;HEAT PUMP;76%;09-23-2016 00:31:33
Machine_02;Machine_02_Fault_05;VACUUM;97%;09-23-2016 00:32:22
Machine_01;Machine_01_Fault_01;ENGINE BREAK;73%;09-23-2016 00:33:50
Machine_01;Machine_01_Fault_02;JAM;14%;09-23-2016 00:35:05
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;74%;09-23-2016 00:37:00
Machine_02;Machine_02_Fault_03;ROTOR BREAK;75%;09-23-2016 00:38:35
Machine_02;Machine_02_Fault_04;HEAT PUMP;71%;09-23-2016 00:40:35
Machine_02;Machine_02_Fault_05;VACUUM;10%;09-23-2016 00:45:02
Machine_01;Machine_01_Fault_01;ENGINE BREAK;91%;09-23-2016 00:46:12
Machine_01;Machine_01_Fault_02;JAM;100%;09-23-2016 00:48:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;59%;09-23-2016 00:48:27
Machine_02;Machine_02_Fault_03;ROTOR BREAK;60%;09-23-2016 00:48:29
Machine_02;Machine_02_Fault_04;HEAT PUMP;27%;09-23-2016 01:07:20
Machine_02;Machine_02_Fault_05;VACUUM;25%;09-23-2016 01:10:02
Machine_01;Machine_01_Fault_01;ENGINE BREAK;45%;09-23-2016 01:09:40
Machine_01;Machine_01_Fault_02;JAM;40%;09-23-2016 01:12:02
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;82%;09-23-2016 01:12:24
Machine_02;Machine_02_Fault_03;ROTOR BREAK;93%;09-23-2016 01:13:28
Machine_02;Machine_02_Fault_04;HEAT PUMP;42%;09-23-2016 01:14:49
Machine_02;Machine_02_Fault_05;VACUUM;35%;09-23-2016 01:15:45
Machine_01;Machine_01_Fault_01;ENGINE BREAK;97%;09-23-2016 01:16:12
Machine_01;Machine_01_Fault_02;JAM;22%;09-23-2016 01:16:46
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;60%;09-23-2016 01:19:51
Machine_02;Machine_02_Fault_03;ROTOR BREAK;24%;09-23-2016 01:03:57
Machine_02;Machine_02_Fault_04;HEAT PUMP;0%;09-23-2016 01:02:53
Machine_02;Machine_02_Fault_05;VACUUM;92%;09-23-2016 00:58:09
Machine_01;Machine_01_Fault_01;ENGINE BREAK;88%;09-23-2016 00:56:43
Machine_01;Machine_01_Fault_02;JAM;44%;09-23-2016 00:54:56
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;82%;09-23-2016 00:53:30
Machine_02;Machine_02_Fault_03;ROTOR BREAK;95%;09-23-2016 00:52:49
Machine_02;Machine_02_Fault_04;HEAT PUMP;47%;09-23-2016 00:51:27
Machine_02;Machine_02_Fault_05;VACUUM;20%;09-23-2016 01:04:02
Machine_01;Machine_01_Fault_01;ENGINE BREAK;67%;09-23-2016 01:06:17
Machine_01;Machine_01_Fault_02;JAM;43%;09-23-2016 01:06:50
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;37%;09-23-2016 01:20:08
Machine_02;Machine_02_Fault_03;ROTOR BREAK;50%;09-23-2016 01:20:08
Machine_02;Machine_02_Fault_04;HEAT PUMP;100%;09-23-2016 01:22:08
Machine_02;Machine_02_Fault_05;VACUUM;48%;09-23-2016 01:23:07
Machine_01;Machine_01_Fault_01;ENGINE BREAK;31%;09-23-2016 01:21:15
Machine_01;Machine_01_Fault_02;JAM;36%;09-23-2016 01:22:02
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;89%;09-23-2016 01:25:05
Machine_02;Machine_02_Fault_03;ROTOR BREAK;17%;09-23-2016 01:35:26
Machine_02;Machine_02_Fault_04;HEAT PUMP;25%;09-23-2016 01:36:22
Machine_02;Machine_02_Fault_05;VACUUM;94%;09-23-2016 01:36:45
